province,province_id,year,y_clean,ln_y_clean,cum_tfp,ln_cum_tfp,urban_rate,pop_density,ln_pop_density,primary_share,machinery,fertilizer,plastic_film,diesel,pesticide,output_nominal
西藏,25,2017,0.18681616997359177,-1.6776301939059644,1.0374120326152758,0.03672918168732614,0.333800961978928,2.8433734939759,1.044991197229011,8.76,523.1,5.5,0.187,5.6,0.1076,178.2
西藏,25,2018,0.17853766047482883,-1.722955716963975,1.2562025717286756,0.22809333826473394,0.337987168979453,2.8804135460762,1.057933876227024,8.29,545.8,5.2,0.1778,3.0,0.0982,195.5
西藏,25,2019,0.21289439478268024,-1.5469590353640934,1.5622619393559958,0.44613473220847394,0.34510477880031,2.93682839465972,1.0773302217248857,8.2,559.0,4.8,0.1492,3.3,0.0802,212.8
西藏,25,2020,0.2460607752639026,-1.4021767196442647,1.5902265291568902,0.46387647725194264,0.356529350620931,2.97606642787366,1.0906024379158374,7.9,576.8,4.4,0.1866,3.8,0.0714,233.5
贵州,26,2016,0.21716822920386245,-1.527082976005188,1.0,0.0,0.455598722724854,213.28036322361,5.3626075594653795,15.79,2041.1,103.7,5.1053,11.2,1.3677,3097.2
贵州,26,2017,0.25723951813059337,-1.3577476509461461,1.1109140465025165,0.10518314178027494,0.477599263739153,215.83427922815,5.374510887420227,14.94,2181.4,95.7,5.1138,11.4,1.3399,3413.9
贵州,26,2018,0.2979677030029492,-1.210770177534915,1.247811674566032,0.22139135677037675,0.495400313971743,216.912599318956,5.379494504292186,14.04,2376.7,89.5,5.5031,11.1,1.1122,3619.5
贵州,26,2019,0.3269363421435354,-1.1179897993799324,1.4593179111116148,0.37796914238559254,0.514799896049896,218.38819523269,5.386274191277563,13.6,2484.6,83.2,4.4121,11.3,0.921,3889.0
贵州,26,2020,0.37522767562531617,-0.9802223022427724,1.6871857333656899,0.5230618943416097,0.531520065528557,218.947786606129,5.38883328406696,14.2,2582.4,78.8,4.5411,10.8,0.8423,4358.6
辽宁,27,2016,0.3898057484628661,-0.9421067448063688,1.0,0.0,0.688698867575688,290.988567585743,5.673283979752821,9.03,2168.5,148.1,13.7273,70.7,5.6264,4421.8
